id,url,name,description,documentation,license,maintainer,provider,areaServed,startDate,endDate
52297544-542a-4163-a7bd-d68a9f3e9453,https://api.notifications.service.gov.uk/,GOV.UK Notify,"GOV.UK Notify allows government departments to send emails, text messages and letters to their users. The API contains: - the public-facing REST API for GOV.UK Notify, which teams can integrate with using our clients - an internal-only REST API built using Flask to manage services, users, templates, etc (this is what the admin app talks to) - asynchronous workers built using Celery to put things on queues and read them off to be processed, sent to providers, updated, etc",https://www.notifications.service.gov.uk/documentation,"","",GDS,"","","",Government Digital Service
b6f2f40d-49e6-4133-82cb-2f97ef21b94e,https://www.gov.uk/bank-holidays.json,Bank Holidays,"The Bank Holidays API provides access to data about when bank holidays are in England and Wales, Scotland and Northern Ireland.",https://github.com/alphagov/calendars/blob/master/README.md,"","",GDS,"","","",Government Digital Service
99c9c9ae-c04f-4de3-a56f-1d3945b1bf1d,https://publicapi.payments.service.gov.uk/,GOV.UK Pay,"Anyone in the public sector can use GOV.UK Pay to take online payments. It only takes minutes to get set up with GOV.UK Pay. Then you can: - take payments using debit cards, credit cards or digital wallets - give full or partial refunds - switch Payment Service Providers, for free, when you choose - use custom branding on your payment pages GOV.UK Pay is ideal if you currently take payments using paper forms, by email or if you have an online service.",https://docs.payments.service.gov.uk/api_reference/#api-reference,"","",GDS,"","","",Government Digital Service
4bb0581e-318d-4239-85b4-b9ec89972516,https://api.london.cloud.service.gov.uk/v2,GOV.UK PaaS,"[GOV.UK PaaS](https://www.cloud.service.gov.uk/) allows government departments to host web facing services in the AWS cloud in Dublin and London regions. [GOV.UK PaaS](https://www.cloud.service.gov.uk/) is built on the Open Source [Cloud Foundry](https://www.cloudfoundry.org/) platform. There are two major versions of the API, v2 and v3. The API provides a comprehensive set of resources to manage the state of your Cloud Foundry Organisation, Spaces, Services and Applications. [GOV.UK PaaS Technical Documentation for Users](https://docs.cloud.service.gov.uk/) The  API  handles all requests from the [Cloud Foundry Command Line Interface (CLI)](https://docs.cloudfoundry.org/cf-cli/) which is the primary user interface for users of the platform.",https://apidocs.cloudfoundry.org/12.0.0/,"","",GDS,"","","",Government Digital Service
00f5f276-a426-4646-bff1-d46a5421d724,https://api.london.cloud.service.gov.uk/v3,GOV.UK PaaS,"[GOV.UK PaaS](https://www.cloud.service.gov.uk/) allows government departments to host web facing services in the AWS cloud in Dublin and London regions. [GOV.UK PaaS](https://www.cloud.service.gov.uk/) is built on the Open Source [Cloud Foundry](https://www.cloudfoundry.org/) platform. There are two major versions of the API, v2 and v3. The API provides a comprehensive set of resources to manage the state of your Cloud Foundry Organisation, Spaces, Services and Applications. [GOV.UK PaaS Technical Documentation for Users](https://docs.cloud.service.gov.uk/) The  API  handles all requests from the [Cloud Foundry Command Line Interface (CLI)](https://docs.cloudfoundry.org/cf-cli/) which is the primary user interface for users of the platform.",http://v3-apidocs.cloudfoundry.org/version/3.74.0/,"","",GDS,"","","",Government Digital Service
c39f96c4-d3cc-4538-b233-ae0978b5bef4,https://www.gov.uk/api/content,GOV.UK Content,GOV.UK Content API makes it easy to access the data used to render content on https://www.gov.uk. For any page hosted on GOV.UK you can use the path to access the content and associated metadata for a page.,https://content-api.publishing.service.gov.uk/,"","",GDS,"","","",Government Digital Service
0154f095-3aa4-447a-845c-610934158d31,https://www.gov.uk/api/search.json,GOV.UK Search,GOV.UK Search API allows you to find content on GOV.UK. It's the same API that powers https://gov.uk/search/all and all the other dynamic content pages on Gov.uk.,https://docs.publishing.service.gov.uk/apis/search/search-api.html,"","",GDS,"","","",Government Digital Service
723c4128-3fba-4f35-b0d4-e16e6ce2db3a,https://www.gov.uk/api/organisations,GOV.UK Organisations,The organisations API provides information about government organisations.,https://docs.publishing.service.gov.uk/apis/whitehall/api.html,"","",GDS,"","","",Government Digital Service
73d9cbce-0c51-4567-bfc2-1bf26591f673,https://www.gov.uk/api/governments,GOV.UK Governments,The governments API lists information about governments back to 1801.,https://docs.publishing.service.gov.uk/apis/whitehall/api.html,"","",GDS,"","","",Government Digital Service
fecb4d40-338e-4e42-91dc-ac32fdf91486,https://<DCS-PRODUCTION-URI>/checks/passport,Document Checking Service pilot,The Document Checking Service (DCS) pilot is for non-public sector organisations that want to find out if British passports are valid. The DCS acts as an interface between a service and HM Passport Office. Your service sends a passport check request to the DCS. The DCS validates the request and sends it to HM Passport Office. HM Passport Office checks the passport data against their database and sends a response back to the DCS. The DCS sends the response to your service as outlined in check if a passport is valid.,https://dcs-pilot-docs.cloudapps.digital/#the-document-checking-service-pilot,"","",GDS,"","","",Government Digital Service
c3a613d4-62f5-466a-bf48-b38f235ce0c8,https://www.gov.uk/api/world-locations,GOV.UK World locations,Lists world locations used on GOV.UK. This is not the same as the country register.,https://docs.publishing.service.gov.uk/apis/whitehall/api.html,"","",GDS,"","","",Government Digital Service
6b18ffa7-93a7-4a33-983e-73303972c998,https://data.gov.uk/api/action/,Data.gov.uk,"This API allows you to access the data.gov.uk dataset metadata in a machine-readable way, as JSON. A dataset's metadata includes details such as title, description, usage licence, and a list of 'resources', which describe each data file that maks up the dataset. Each resource contains a format, description and URL (e.g. for download).",https://guidance.data.gov.uk/get_data/api_documentation/,"","",GDS,"","","",Government Digital Service
ba3267ad-aafc-4cb4-ab76-5e6163c7cf58,https://api.beta.ons.gov.uk/v1,Statistics,"The Office for National Statistics API makes datasets and other data available programmatically using HTTP. It allows you to filter datasets and directly access specific data points. The API is open and unrestricted - no API keys are required, so you can start using it immediately. This API is currently in Beta and still being developed. Please be aware that as a result of this there may occasionally be breaking changes as we enhance functionality and respond to feedback.",https://developer.beta.ons.gov.uk/,"","",ONS,"","","",Office of National Statistics
ffe16c81-2d10-4656-90a8-146891094e4b,https://ons-inspire.esriuk.com/arcgis/rest/services/,Open Geography portal,"The Open Geography portal from the Office for National Statistics (ONS) provides free and open access to the definitive source of geographic products, web applications, story maps, services and APIs. All content is available under the Open Government Licence v3.0, except where otherwise stated.",https://developers.arcgis.com/rest/services-reference/get-started-with-the-services-directory.htm,"","",ONS,"","","",Office of National Statistics
